,year,state,report,farmtype,category,category_value,category2,category2_value,variable_id,variable_name,variable_sequence,variable_level,variable_group,variable_group_id,variable_unit,variable_description,variable_is_invalid,estimate,median,statistic,rse,unreliable_estimate,decimal_display
1,2018,All survey states,Farm Business Balance Sheet,All Farms,Operator Age,34 years or younger,All Farms,TOTAL,kount,Farms,10,1,NA,NA,Number,Estimated number of farms.,FALSE,81363,NA,TOTAL,0,0,0
2,2018,All survey states,Farm Business Balance Sheet,All Farms,Operator Age,35 to 44 years old,All Farms,TOTAL,kount,Farms,10,1,NA,NA,Number,Estimated number of farms.,FALSE,190627,NA,TOTAL,0,0,0
3,2018,All survey states,Farm Business Balance Sheet,All Farms,Operator Age,45 to 54 years old,All Farms,TOTAL,kount,Farms,10,1,NA,NA,Number,Estimated number of farms.,FALSE,292096,NA,TOTAL,0,0,0
4,2018,All survey states,Farm Business Balance Sheet,All Farms,Operator Age,55 to 64 years old,All Farms,TOTAL,kount,Farms,10,1,NA,NA,Number,Estimated number of farms.,FALSE,694246,NA,TOTAL,0,0,0
5,2018,All survey states,Farm Business Balance Sheet,All Farms,Operator Age,65 years or older,All Farms,TOTAL,kount,Farms,10,1,NA,NA,Number,Estimated number of farms.,FALSE,762588,NA,TOTAL,0,0,0
6,2018,All survey states,Farm Business Balance Sheet,All Farms,All Farms,TOTAL,All Farms,TOTAL,kount,Farms,10,1,NA,NA,Number,Estimated number of farms.,FALSE,2020919,NA,TOTAL,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,category,Analysis Variable,,,,,,,,,,,,,,,,,,,,,
,category_value,Granular Analysis Variable,,,,,,,,,,,,,,,,,,,,,
,category2,Likely Useless,,,,,,,,,,,,,,,,,,,,,
,category2_value,Likely Useless,,,,,,,,,,,,,,,,,,,,,
,variable_sequence,Likely Useless,,,,,,,,,,,,,,,,,,,,,
,variable_level,Not sure what this does,,,,,,,,,,,,,,,,,,,,,
,variable_group,May be useful,,,,,,,,,,,,,,,,,,,,,
,variable_group_id,"same as variable_group, except encoded",,,,,,,,,,,,,,,,,,,,,
,decimal_display,Pretty much useless; R / Shiny should take care,,,,,,,,,,,,,,,,,,,,,