"","report","category","category_value","n"
"1","Farm Business Balance Sheet","All Farms","TOTAL",1608
"2","Farm Business Balance Sheet","Collapsed Farm Typology","Commercial farms",1608
"3","Farm Business Balance Sheet","Collapsed Farm Typology","Intermediate farms",1608
"4","Farm Business Balance Sheet","Collapsed Farm Typology","Residence farms",1080
"5","Farm Business Balance Sheet","Economic Class","$1,000,000 or more",1608
"6","Farm Business Balance Sheet","Economic Class","$100,000 to $249,999",1608
"7","Farm Business Balance Sheet","Economic Class","$250,000 to $499,999",1608
"8","Farm Business Balance Sheet","Economic Class","$500,000 to $999,999",1608
"9","Farm Business Balance Sheet","Economic Class","Less than $100,000",1608
"10","Farm Business Balance Sheet","Farm Resource Region","Basin and Range",144
"11","Farm Business Balance Sheet","Farm Resource Region","Eastern Uplands",144
"12","Farm Business Balance Sheet","Farm Resource Region","Fruitful Rim",144
"13","Farm Business Balance Sheet","Farm Resource Region","Heartland",144
"14","Farm Business Balance Sheet","Farm Resource Region","Mississippi Portal",144
"15","Farm Business Balance Sheet","Farm Resource Region","Northern Crescent",144
"16","Farm Business Balance Sheet","Farm Resource Region","Northern Great Plains",144
"17","Farm Business Balance Sheet","Farm Resource Region","Prairie Gateway",144
"18","Farm Business Balance Sheet","Farm Resource Region","Southern Seaboard",144
"19","Farm Business Balance Sheet","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",336
"20","Farm Business Balance Sheet","Farm Typology","Farming occupation/lower-sales farms (2011 to present)",1272
"21","Farm Business Balance Sheet","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",336
"22","Farm Business Balance Sheet","Farm Typology","Farming occupation/moderate-sales farms (2011 to present)",1272
"23","Farm Business Balance Sheet","Farm Typology","Large farms  (1996 through 2010)",336
"24","Farm Business Balance Sheet","Farm Typology","Large farms (2011 to present)",1272
"25","Farm Business Balance Sheet","Farm Typology","Midsize farms (2011 to present)",1272
"26","Farm Business Balance Sheet","Farm Typology","Nonfamily farms  (1996 through 2010)",216
"27","Farm Business Balance Sheet","Farm Typology","Nonfamily farms (2011 to present)",840
"28","Farm Business Balance Sheet","Farm Typology","Off-farm occupation farms (2011 to present)",840
"29","Farm Business Balance Sheet","Farm Typology","Residential/lifestyle farms (1996 through 2010)",240
"30","Farm Business Balance Sheet","Farm Typology","Retirement farms (1996 through 2010)",240
"31","Farm Business Balance Sheet","Farm Typology","Retirement farms (2011 to present)",840
"32","Farm Business Balance Sheet","Farm Typology","Very large farms  (1996 through 2010)",336
"33","Farm Business Balance Sheet","Farm Typology","Very large farms (2011 to present)",1272
"34","Farm Business Balance Sheet","NASS Region","Atlantic region",144
"35","Farm Business Balance Sheet","NASS Region","Midwest region",144
"36","Farm Business Balance Sheet","NASS Region","Plains region",144
"37","Farm Business Balance Sheet","NASS Region","South region",144
"38","Farm Business Balance Sheet","NASS Region","West region",144
"39","Farm Business Balance Sheet","Operator Age","34 years or younger",1608
"40","Farm Business Balance Sheet","Operator Age","35 to 44 years old",1608
"41","Farm Business Balance Sheet","Operator Age","45 to 54 years old",1608
"42","Farm Business Balance Sheet","Operator Age","55 to 64 years old",1608
"43","Farm Business Balance Sheet","Operator Age","65 years or older",1608
"44","Farm Business Balance Sheet","Production Specialty","All other livestock",1608
"45","Farm Business Balance Sheet","Production Specialty","Cattle",1608
"46","Farm Business Balance Sheet","Production Specialty","Corn",1608
"47","Farm Business Balance Sheet","Production Specialty","Dairy",1608
"48","Farm Business Balance Sheet","Production Specialty","General Cash Grains",1536
"49","Farm Business Balance Sheet","Production Specialty","Hogs",1416
"50","Farm Business Balance Sheet","Production Specialty","Other Field Crops",1608
"51","Farm Business Balance Sheet","Production Specialty","Poultry",1608
"52","Farm Business Balance Sheet","Production Specialty","Soybean",1248
"53","Farm Business Balance Sheet","Production Specialty","Specialty Crops (F,V,N)",1608
"54","Farm Business Balance Sheet","Production Specialty","Tobacco, Cotton, Peanuts",1152
"55","Farm Business Balance Sheet","Production Specialty","Wheat",888
"56","Farm Business Debt Repayment Capacity","All Farms","TOTAL",338
"57","Farm Business Debt Repayment Capacity","Collapsed Farm Typology","Commercial farms",338
"58","Farm Business Debt Repayment Capacity","Collapsed Farm Typology","Intermediate farms",338
"59","Farm Business Debt Repayment Capacity","Collapsed Farm Typology","Residence farms",234
"60","Farm Business Debt Repayment Capacity","Economic Class","$1,000,000 or more",338
"61","Farm Business Debt Repayment Capacity","Economic Class","$100,000 to $249,999",338
"62","Farm Business Debt Repayment Capacity","Economic Class","$250,000 to $499,999",338
"63","Farm Business Debt Repayment Capacity","Economic Class","$500,000 to $999,999",338
"64","Farm Business Debt Repayment Capacity","Economic Class","Less than $100,000",338
"65","Farm Business Debt Repayment Capacity","Farm Resource Region","Basin and Range",39
"66","Farm Business Debt Repayment Capacity","Farm Resource Region","Eastern Uplands",39
"67","Farm Business Debt Repayment Capacity","Farm Resource Region","Fruitful Rim",39
"68","Farm Business Debt Repayment Capacity","Farm Resource Region","Heartland",39
"69","Farm Business Debt Repayment Capacity","Farm Resource Region","Mississippi Portal",39
"70","Farm Business Debt Repayment Capacity","Farm Resource Region","Northern Crescent",39
"71","Farm Business Debt Repayment Capacity","Farm Resource Region","Northern Great Plains",39
"72","Farm Business Debt Repayment Capacity","Farm Resource Region","Prairie Gateway",39
"73","Farm Business Debt Repayment Capacity","Farm Resource Region","Southern Seaboard",39
"74","Farm Business Debt Repayment Capacity","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",338
"75","Farm Business Debt Repayment Capacity","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",338
"76","Farm Business Debt Repayment Capacity","Farm Typology","Large farms  (1996 through 2010)",338
"77","Farm Business Debt Repayment Capacity","Farm Typology","Nonfamily farms  (1996 through 2010)",234
"78","Farm Business Debt Repayment Capacity","Farm Typology","Residential/lifestyle farms (1996 through 2010)",234
"79","Farm Business Debt Repayment Capacity","Farm Typology","Retirement farms (1996 through 2010)",234
"80","Farm Business Debt Repayment Capacity","Farm Typology","Very large farms  (1996 through 2010)",338
"81","Farm Business Debt Repayment Capacity","NASS Region","Atlantic region",39
"82","Farm Business Debt Repayment Capacity","NASS Region","Midwest region",39
"83","Farm Business Debt Repayment Capacity","NASS Region","Plains region",39
"84","Farm Business Debt Repayment Capacity","NASS Region","South region",39
"85","Farm Business Debt Repayment Capacity","NASS Region","West region",39
"86","Farm Business Debt Repayment Capacity","Operator Age","34 years or younger",338
"87","Farm Business Debt Repayment Capacity","Operator Age","35 to 44 years old",338
"88","Farm Business Debt Repayment Capacity","Operator Age","45 to 54 years old",338
"89","Farm Business Debt Repayment Capacity","Operator Age","55 to 64 years old",338
"90","Farm Business Debt Repayment Capacity","Operator Age","65 years or older",338
"91","Farm Business Debt Repayment Capacity","Production Specialty","All other livestock",338
"92","Farm Business Debt Repayment Capacity","Production Specialty","Cattle",338
"93","Farm Business Debt Repayment Capacity","Production Specialty","Corn",338
"94","Farm Business Debt Repayment Capacity","Production Specialty","Dairy",338
"95","Farm Business Debt Repayment Capacity","Production Specialty","General Cash Grains",338
"96","Farm Business Debt Repayment Capacity","Production Specialty","Hogs",338
"97","Farm Business Debt Repayment Capacity","Production Specialty","Other Field Crops",338
"98","Farm Business Debt Repayment Capacity","Production Specialty","Poultry",338
"99","Farm Business Debt Repayment Capacity","Production Specialty","Soybean",338
"100","Farm Business Debt Repayment Capacity","Production Specialty","Specialty Crops (F,V,N)",338
"101","Farm Business Debt Repayment Capacity","Production Specialty","Tobacco, Cotton, Peanuts",156
"102","Farm Business Debt Repayment Capacity","Production Specialty","Wheat",208
"103","Farm Business Financial Ratios","All Farms","TOTAL",352
"104","Farm Business Financial Ratios","Collapsed Farm Typology","Commercial farms",352
"105","Farm Business Financial Ratios","Collapsed Farm Typology","Intermediate farms",352
"106","Farm Business Financial Ratios","Collapsed Farm Typology","Residence farms",231
"107","Farm Business Financial Ratios","Economic Class","$1,000,000 or more",352
"108","Farm Business Financial Ratios","Economic Class","$100,000 to $249,999",352
"109","Farm Business Financial Ratios","Economic Class","$250,000 to $499,999",352
"110","Farm Business Financial Ratios","Economic Class","$500,000 to $999,999",352
"111","Farm Business Financial Ratios","Economic Class","Less than $100,000",352
"112","Farm Business Financial Ratios","Farm Resource Region","Basin and Range",110
"113","Farm Business Financial Ratios","Farm Resource Region","Eastern Uplands",110
"114","Farm Business Financial Ratios","Farm Resource Region","Fruitful Rim",110
"115","Farm Business Financial Ratios","Farm Resource Region","Heartland",110
"116","Farm Business Financial Ratios","Farm Resource Region","Mississippi Portal",110
"117","Farm Business Financial Ratios","Farm Resource Region","Northern Crescent",110
"118","Farm Business Financial Ratios","Farm Resource Region","Northern Great Plains",110
"119","Farm Business Financial Ratios","Farm Resource Region","Prairie Gateway",110
"120","Farm Business Financial Ratios","Farm Resource Region","Southern Seaboard",110
"121","Farm Business Financial Ratios","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",209
"122","Farm Business Financial Ratios","Farm Typology","Farming occupation/lower-sales farms (2011 to present)",143
"123","Farm Business Financial Ratios","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",209
"124","Farm Business Financial Ratios","Farm Typology","Farming occupation/moderate-sales farms (2011 to present)",143
"125","Farm Business Financial Ratios","Farm Typology","Large farms  (1996 through 2010)",209
"126","Farm Business Financial Ratios","Farm Typology","Large farms (2011 to present)",143
"127","Farm Business Financial Ratios","Farm Typology","Midsize farms (2011 to present)",143
"128","Farm Business Financial Ratios","Farm Typology","Nonfamily farms  (1996 through 2010)",143
"129","Farm Business Financial Ratios","Farm Typology","Nonfamily farms (2011 to present)",110
"130","Farm Business Financial Ratios","Farm Typology","Off-farm occupation farms (2011 to present)",88
"131","Farm Business Financial Ratios","Farm Typology","Residential/lifestyle farms (1996 through 2010)",143
"132","Farm Business Financial Ratios","Farm Typology","Retirement farms (1996 through 2010)",143
"133","Farm Business Financial Ratios","Farm Typology","Retirement farms (2011 to present)",88
"134","Farm Business Financial Ratios","Farm Typology","Very large farms  (1996 through 2010)",209
"135","Farm Business Financial Ratios","Farm Typology","Very large farms (2011 to present)",143
"136","Farm Business Financial Ratios","NASS Region","Atlantic region",110
"137","Farm Business Financial Ratios","NASS Region","Midwest region",110
"138","Farm Business Financial Ratios","NASS Region","Plains region",110
"139","Farm Business Financial Ratios","NASS Region","South region",110
"140","Farm Business Financial Ratios","NASS Region","West region",110
"141","Farm Business Financial Ratios","Operator Age","34 years or younger",352
"142","Farm Business Financial Ratios","Operator Age","35 to 44 years old",352
"143","Farm Business Financial Ratios","Operator Age","45 to 54 years old",352
"144","Farm Business Financial Ratios","Operator Age","55 to 64 years old",352
"145","Farm Business Financial Ratios","Operator Age","65 years or older",352
"146","Farm Business Financial Ratios","Production Specialty","All other livestock",352
"147","Farm Business Financial Ratios","Production Specialty","Cattle",352
"148","Farm Business Financial Ratios","Production Specialty","Corn",330
"149","Farm Business Financial Ratios","Production Specialty","Dairy",352
"150","Farm Business Financial Ratios","Production Specialty","General Cash Grains",341
"151","Farm Business Financial Ratios","Production Specialty","Hogs",341
"152","Farm Business Financial Ratios","Production Specialty","Other Field Crops",352
"153","Farm Business Financial Ratios","Production Specialty","Poultry",352
"154","Farm Business Financial Ratios","Production Specialty","Soybean",297
"155","Farm Business Financial Ratios","Production Specialty","Specialty Crops (F,V,N)",352
"156","Farm Business Financial Ratios","Production Specialty","Tobacco, Cotton, Peanuts",275
"157","Farm Business Financial Ratios","Production Specialty","Wheat",209
"158","Farm Business Income Statement","All Farms","TOTAL",1209
"159","Farm Business Income Statement","Collapsed Farm Typology","Commercial farms",1209
"160","Farm Business Income Statement","Collapsed Farm Typology","Intermediate farms",1209
"161","Farm Business Income Statement","Collapsed Farm Typology","Residence farms",837
"162","Farm Business Income Statement","Economic Class","$1,000,000 or more",1209
"163","Farm Business Income Statement","Economic Class","$100,000 to $249,999",1209
"164","Farm Business Income Statement","Economic Class","$250,000 to $499,999",1209
"165","Farm Business Income Statement","Economic Class","$500,000 to $999,999",1209
"166","Farm Business Income Statement","Economic Class","Less than $100,000",1209
"167","Farm Business Income Statement","Farm Resource Region","Basin and Range",93
"168","Farm Business Income Statement","Farm Resource Region","Eastern Uplands",93
"169","Farm Business Income Statement","Farm Resource Region","Fruitful Rim",93
"170","Farm Business Income Statement","Farm Resource Region","Heartland",93
"171","Farm Business Income Statement","Farm Resource Region","Mississippi Portal",93
"172","Farm Business Income Statement","Farm Resource Region","Northern Crescent",93
"173","Farm Business Income Statement","Farm Resource Region","Northern Great Plains",93
"174","Farm Business Income Statement","Farm Resource Region","Prairie Gateway",93
"175","Farm Business Income Statement","Farm Resource Region","Southern Seaboard",93
"176","Farm Business Income Statement","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",744
"177","Farm Business Income Statement","Farm Typology","Farming occupation/lower-sales farms (2011 to present)",465
"178","Farm Business Income Statement","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",744
"179","Farm Business Income Statement","Farm Typology","Farming occupation/moderate-sales farms (2011 to present)",465
"180","Farm Business Income Statement","Farm Typology","Large farms  (1996 through 2010)",744
"181","Farm Business Income Statement","Farm Typology","Large farms (2011 to present)",465
"182","Farm Business Income Statement","Farm Typology","Midsize farms (2011 to present)",465
"183","Farm Business Income Statement","Farm Typology","Nonfamily farms  (1996 through 2010)",496
"184","Farm Business Income Statement","Farm Typology","Nonfamily farms (2011 to present)",310
"185","Farm Business Income Statement","Farm Typology","Off-farm occupation farms (2011 to present)",310
"186","Farm Business Income Statement","Farm Typology","Residential/lifestyle farms (1996 through 2010)",527
"187","Farm Business Income Statement","Farm Typology","Retirement farms (1996 through 2010)",527
"188","Farm Business Income Statement","Farm Typology","Retirement farms (2011 to present)",310
"189","Farm Business Income Statement","Farm Typology","Very large farms  (1996 through 2010)",744
"190","Farm Business Income Statement","Farm Typology","Very large farms (2011 to present)",465
"191","Farm Business Income Statement","NASS Region","Atlantic region",93
"192","Farm Business Income Statement","NASS Region","Midwest region",93
"193","Farm Business Income Statement","NASS Region","Plains region",93
"194","Farm Business Income Statement","NASS Region","South region",93
"195","Farm Business Income Statement","NASS Region","West region",93
"196","Farm Business Income Statement","Operator Age","34 years or younger",1209
"197","Farm Business Income Statement","Operator Age","35 to 44 years old",1209
"198","Farm Business Income Statement","Operator Age","45 to 54 years old",1209
"199","Farm Business Income Statement","Operator Age","55 to 64 years old",1209
"200","Farm Business Income Statement","Operator Age","65 years or older",1209
